date,price_aluminium_lme,price_copper_lme,price_nickel_lme,negative_aluminium_lme,negative_copper_lme,negative_nickel_lme,neutral_aluminium_lme,neutral_copper_lme,neutral_nickel_lme,positive_aluminium_lme,positive_copper_lme,positive_nickel_lme,sentiment_score_aluminium_lme,sentiment_score_copper_lme,sentiment_score_nickel_lme,action_aluminium_lme,action_name_aluminium_lme,greedy_action_aluminium_lme,greedy_action_name_aluminium_lme,prob_hold_aluminium_lme,prob_buy_aluminium_lme,prob_sell_aluminium_lme,entropy_aluminium_lme,normalized_entropy_aluminium_lme,position_aluminium_lme,action_copper_lme,action_name_copper_lme,greedy_action_copper_lme,greedy_action_name_copper_lme,prob_hold_copper_lme,prob_buy_copper_lme,prob_sell_copper_lme,entropy_copper_lme,normalized_entropy_copper_lme,position_copper_lme,action_nickel_lme,action_name_nickel_lme,greedy_action_nickel_lme,greedy_action_name_nickel_lme,prob_hold_nickel_lme,prob_buy_nickel_lme,prob_sell_nickel_lme,entropy_nickel_lme,normalized_entropy_nickel_lme,position_nickel_lme,cash_balance,net_worth,reward,capital_mode,mean_normalized_entropy
2020-01-16,1794.0026002669,6300.5091320967,14290.0207122706,0.25,0.1666666666666666,0.0833333333333333,0.5833333333333333,0.5,0.8333333333333334,0.1666666666666667,0.3333333333333333,0.0833333333333333,-0.0833333333333333,0.1666666666666666,0.0,1,buy,2,sell,0.3320179879665375,0.3316574990749359,0.3363245129585266,1.0985920895708068,0.9999816139892923,1,1,buy,0,hold,0.35006093978881836,0.3333371877670288,0.31660187244415283,1.0977722990368997,0.9992354084877128,1,1,buy,2,sell,0.3203722834587097,0.3370686173439026,0.3425590395927429,1.0982096149912142,0.9996334706237595,1,-12384.532348632812,10000.0,0.0,infinite,0.9996168310335882
2020-01-17,1796.0026031657,6276.5090973105,13840.0200600298,0.25,0.1666666666666667,0.0,0.75,0.5833333333333333,1.0,0.0,0.25,0.0,-0.25,0.0833333333333333,0.0,1,buy,2,sell,0.3315590023994446,0.3324531316757202,0.3359878659248352,1.0985958528663946,0.9999850394885578,2,0,hold,0,hold,0.3498486578464508,0.3342536389827728,0.3158976435661316,1.0977443094510506,0.9992099312687359,1,0,hold,2,sell,0.3231256902217865,0.3371676802635193,0.339706689119339,1.0983718603481172,0.9997811527119508,1,-14180.534912109375,9528.0,-472.0,infinite,0.9996587078230815
2020-01-20,1807.0026191094,6245.0090516536,13845.0200672769,0.1666666666666666,0.0833333333333333,0.0833333333333333,0.75,0.8333333333333334,0.75,0.0833333333333333,0.0833333333333333,0.1666666666666666,-0.0833333333333333,0.0,0.0833333333333333,2,sell,1,buy,0.32896941900253296,0.3362009823322296,0.33482956886291504,1.0985679446013008,0.9999596362909223,1,1,buy,0,hold,0.3532293438911438,0.33183586597442627,0.31493476033210754,1.0975092464825211,0.998995967734053,2,2,sell,2,sell,0.32106342911720276,0.33611977100372314,0.3428167700767517,1.0982383838787915,0.9996596571937388,0,-4773.5211181640625,9523.5,-4.5,infinite,0.9995384204062381
2020-01-21,1810.5026241824,6158.5089262784,13750.0199295816,0.1666666666666667,0.0833333333333333,0.0,0.5833333333333333,0.6666666666666667,0.8333333333333334,0.25,0.2499999999999999,0.1666666666666666,0.0833333333333333,0.1666666666666666,0.1666666666666666,0,hold,1,buy,0.33267033100128174,0.3341763913631439,0.33315330743789673,1.0986105150270986,0.9999983855623776,1,0,hold,0,hold,0.35429561138153076,0.33362722396850586,0.3120771646499634,1.0972738107218196,0.9987816648693117,2,1,buy,2,sell,0.3210923969745636,0.3389368951320648,0.3399706780910492,1.098272239578462,0.999690473979624,1,-18523.540649414062,9353.9990234375,-169.5009765625,infinite,0.9994901748037712
2020-01-22,1807.5026198341,6103.5088465601,13645.0197773921,0.3333333333333334,0.3333333333333333,0.3333333333333334,0.5833333333333333,0.4166666666666666,0.5833333333333333,0.0833333333333333,0.25,0.0833333333333333,-0.25,-0.0833333333333333,-0.25,2,sell,1,buy,0.33228570222854614,0.33484718203544617,0.3328671455383301,1.098606882081167,0.9999950787124825,0,1,buy,0,hold,0.35314568877220154,0.3314416706562042,0.31541264057159424,1.0975388478278243,0.9990229120397088,3,1,buy,2,sell,0.320949524641037,0.33831459283828735,0.34073591232299805,1.0982607168750873,0.9996799855630154,2,-36464.56640625,9135.9990234375,-218.0,infinite,0.9995659921050688
2020-01-23,1781.5025821491,6050.0087690159,13300.0192773408,0.25,0.2499999999999999,0.3333333333333333,0.5833333333333333,0.6666666666666667,0.5,0.1666666666666667,0.0833333333333333,0.1666666666666666,-0.0833333333333333,-0.1666666666666666,-0.1666666666666666,1,buy,2,sell,0.33074894547462463,0.3309972882270813,0.33825376629829407,1.0985579006272403,0.9999504938717413,1,0,hold,0,hold,0.3516887426376343,0.33466383814811707,0.31364741921424866,1.0975201877905927,0.9990059269418503,3,1,buy,2,sell,0.3225723206996918,0.3379000425338745,0.33952760696411133,1.0983483489487977,0.9997597517140173,3,-51546.08850097656,8285.4990234375,-850.5,infinite,0.999572057509203
2020-01-24,1775.5025734525,5968.0086501631,12990.0188280193,0.1666666666666666,0.25,0.1666666666666666,0.6666666666666667,0.5833333333333333,0.6666666666666667,0.1666666666666666,0.1666666666666667,0.1666666666666666,0.0,-0.0833333333333333,0.0,0,hold,2,sell,0.3322448432445526,0.3302782475948334,0.3374769389629364,1.0985708180785643,0.9999622518426443,1,2,sell,0,hold,0.34800630807876587,0.33565014600753784,0.3163435459136963,1.0978454195325642,0.999301965631137,2,0,hold,1,buy,0.322342187166214,0.33897385001182556,0.33868399262428284,1.098338882959137,0.9997511353989093,3,-45578.07971191406,7103.49609375,-1182.0029296875,infinite,0.9996717842908969
2020-01-27,1755.502544464,5779.008376222,12650.0183352151,0.0,0.1666666666666666,0.0833333333333333,1.0,0.5,0.8333333333333334,0.0,0.3333333333333333,0.0833333333333333,0.0,0.1666666666666666,0.0,0,hold,1,buy,0.3301604986190796,0.335315465927124,0.3345240354537964,1.0985891344503813,0.9999789241227617,1,1,buy,0,hold,0.353057861328125,0.3312014639377594,0.3157407343387604,1.0975604140905688,0.9990425424980307,3,1,buy,2,sell,0.3204137086868286,0.33867472410202026,0.34091150760650635,1.0982305481477754,0.9996525248039987,4,-64007.10656738281,5685.4951171875,-1418.0009765625,infinite,0.9995579971415971
2020-01-28,1744.5025285204,5715.0082834588,12740.0184656633,0.1666666666666666,0.3333333333333333,0.0833333333333333,0.4166666666666666,0.3333333333333333,0.6666666666666667,0.4166666666666667,0.3333333333333333,0.2499999999999999,0.25,0.0,0.1666666666666666,1,buy,2,sell,0.32994315028190613,0.33490902185440063,0.33514782786369324,1.0985863419245745,0.999976382256231,2,2,sell,0,hold,0.3459818661212921,0.33097031712532043,0.32304778695106506,1.0982065474578144,0.9996306784345301,2,2,sell,2,sell,0.32373538613319397,0.33659628033638,0.3396683931350708,1.0983970220439314,0.9998040558744893,3,-47296.582275390625,5842.4951171875,157.0,infinite,0.99980370552175
2020-01-29,1732.5025111273,5698.0082588186,12630.0183062266,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.0,0.0,0.0,-0.0833333333333333,-0.0833333333333333,-0.0833333333333333,0,hold,2,sell,0.33112263679504395,0.33114132285118103,0.33773598074913025,1.0985687706326464,0.9999603881770555,2,0,hold,0,hold,0.3469010293483734,0.33752644062042236,0.3155725300312042,1.0978317693299262,0.9992895406812445,2,0,hold,1,buy,0.3188138008117676,0.3406747281551361,0.3405114412307739,1.0981343732588322,0.9995649826474662,3,-47296.582275390625,5454.4951171875,-388.0,infinite,0.9996049705019221
