date,price_aluminium_lme,price_copper_lme,price_nickel_lme,negative_aluminium_lme,negative_copper_lme,negative_nickel_lme,neutral_aluminium_lme,neutral_copper_lme,neutral_nickel_lme,positive_aluminium_lme,positive_copper_lme,positive_nickel_lme,sentiment_score_aluminium_lme,sentiment_score_copper_lme,sentiment_score_nickel_lme,action_aluminium_lme,action_name_aluminium_lme,prob_hold_aluminium_lme,prob_buy_aluminium_lme,prob_sell_aluminium_lme,greedy_action_aluminium_lme,greedy_action_name_aluminium_lme,entropy_aluminium_lme,normalized_entropy_aluminium_lme,position_aluminium_lme,action_copper_lme,action_name_copper_lme,prob_hold_copper_lme,prob_buy_copper_lme,prob_sell_copper_lme,greedy_action_copper_lme,greedy_action_name_copper_lme,entropy_copper_lme,normalized_entropy_copper_lme,position_copper_lme,action_nickel_lme,action_name_nickel_lme,prob_hold_nickel_lme,prob_buy_nickel_lme,prob_sell_nickel_lme,greedy_action_nickel_lme,greedy_action_name_nickel_lme,entropy_nickel_lme,normalized_entropy_nickel_lme,position_nickel_lme,cash_balance,net_worth,reward,capital_mode,mean_normalized_entropy
2024-09-25,2512.0036409534,9618.5139412859,16450.0238430267,0.9513933062553406,0.931914746761322,0.2501842379570007,0.0244214534759521,0.0107497125864028,0.0212069004774093,0.0241852644830942,0.0573355481028556,0.7286088466644287,-0.9272080659866332,-0.8745791912078857,0.478424608707428,0,hold,0.3281277120113373,0.33579760789871216,0.33607468008995056,2,sell,1.0985510993564191,0.9999443030882489,0,2,sell,0.32705360651016235,0.33182016015052795,0.34112629294395447,2,sell,1.0984589278642154,0.9998604049804684,0,0,hold,0.33795738220214844,0.3321366310119629,0.32990601658821106,0,hold,1.0985605320425504,0.999952889089178,0,10000.0,10000.0,0.0,infinite,0.9999191990526318
2024-09-26,2560.0037105257,9844.014268131,16555.0239952163,0.9524078965187072,0.9249746203422546,0.359163224697113,0.0273567661643028,0.053766194730997,0.2166519165039062,0.0202352795749902,0.0212592538446187,0.4241849184036255,-0.9321725964546204,-0.9037153720855712,0.0650216937065124,1,buy,0.332753449678421,0.33380499482154846,0.33344149589538574,1,buy,1.0986114328913636,0.9999992210384364,1,2,sell,0.3364781141281128,0.33552423119544983,0.3279976546764374,0,hold,1.0985473824065077,0.9999409197746361,0,1,buy,0.3309779763221741,0.33398541808128357,0.33503660559654236,2,sell,1.098598965720731,0.9999878729306815,1,-9115.027099609375,10000.0,0.0,infinite,0.9999760045812512
2024-09-27,2609.5037822722,9860.0142913218,16655.0241401587,0.778374433517456,0.93723326921463,0.2966076135635376,0.0168218445032835,0.0102276969701051,0.6258682608604431,0.2048038393259048,0.0525390096008777,0.0775241777300834,-0.5735706090927124,-0.8846942782402039,-0.2190834283828735,2,sell,0.33216944336891174,0.3329230844974518,0.3349074721336365,2,sell,1.0986062907470744,0.9999945404569954,0,2,sell,0.33695557713508606,0.3313502371311188,0.3316941559314728,0,hold,1.0985827308808185,0.9999730953425552,0,2,sell,0.3354589641094208,0.33254754543304443,0.33199355006217957,0,hold,1.0986019025039733,0.9999905461059888,0,10149.5,10149.5,149.5,infinite,0.9999860606351798
2024-09-30,2611.0037844464,9767.0141565254,17005.0246474571,0.9299660325050354,0.7496413588523865,0.3591629862785339,0.0137090543285012,0.221094399690628,0.2166517823934555,0.0563249140977859,0.0292642582207918,0.4241852164268493,-0.8736411333084106,-0.7203770875930786,0.0650222301483154,2,sell,0.33143380284309387,0.3305993378162384,0.3379668593406677,2,sell,1.0985635670025575,0.9999556516288277,0,1,buy,0.3349841237068176,0.3300173580646515,0.33499857783317566,2,sell,1.0985875065842752,0.9999774423751762,1,2,sell,0.33835187554359436,0.33055034279823303,0.33109772205352783,0,hold,1.0985555344201086,0.9999483400571916,0,382.486328125,10149.5,0.0,infinite,0.9999604780203984
2024-10-01,2635.0038192326,9741.0141188403,17320.0251040257,0.6906947493553162,0.4908778071403503,0.7552694082260132,0.0548623651266098,0.4674998223781585,0.1976623982191085,0.2544428706169128,0.0416223630309104,0.0470682121813297,-0.4362518787384033,-0.4492554366588592,-0.7082011699676514,0,hold,0.3315560817718506,0.3327499330043793,0.33569395542144775,2,sell,1.0985986923154327,0.9999876240664543,0,1,buy,0.32716038823127747,0.33885034918785095,0.3339892327785492,1,buy,1.0985087233947115,0.9999057308256366,2,1,buy,0.3404288589954376,0.3296882212162018,0.329882949590683,0,hold,1.098499376195346,0.9998972226381151,1,-26678.552734375,10123.5,-26.0,infinite,0.9999301925100686
2024-10-02,2635.0038192326,9882.5143239338,17730.0256982896,0.0179877858608961,0.8826383352279663,0.1617038547992706,0.962749183177948,0.0601008236408233,0.693356454372406,0.0192630551755428,0.0572608932852745,0.1449396312236786,0.0012752693146467,-0.8253774642944336,-0.016764223575592,2,sell,0.33399713039398193,0.33206602931022644,0.3339368402957916,0,hold,1.0986086700169364,0.9999967061617545,0,1,buy,0.3298253118991852,0.33703410625457764,0.33314064145088196,1,buy,1.0985732405718345,0.9999644568910451,3,2,sell,0.33473360538482666,0.33225488662719727,0.3330115079879761,0,hold,1.098607449772379,0.9999955954472923,0,-18831.0419921875,10816.501953125,693.001953125,infinite,0.9999855861666974
2024-10-03,2638.0038235808,9786.0141840644,17920.0259736802,0.3873887658119201,0.3981039524078369,0.7602176070213318,0.0399585776031017,0.0113493092358112,0.0135009428486227,0.5726526975631714,0.590546727180481,0.2262814491987228,0.1852639317512512,0.192442774772644,-0.5339361429214478,0,hold,0.3358553349971771,0.3291158974170685,0.335028737783432,0,hold,1.0985716742087854,0.9999630311259547,0,2,sell,0.3325522541999817,0.32986146211624146,0.33758631348609924,2,sell,1.0985662117890378,0.9999580590172281,2,1,buy,0.3364153802394867,0.334374338388443,0.3292102515697479,0,hold,1.098570854514838,0.99996228500837,1,-26965.052734375,10527.001953125,-289.5,infinite,0.9999611250505177
2024-10-04,2654.0038467716,9784.0141811656,17600.0255098645,0.9467384219169616,0.8264526128768921,0.949851095676422,0.0119407949969172,0.0136379115283489,0.0166002660989761,0.0413207374513149,0.1599094718694687,0.033548641949892,-0.9054176807403564,-0.6665431261062622,-0.9163024425506592,0,hold,0.3311813175678253,0.3336685001850128,0.3351501226425171,2,sell,1.0986002163484074,0.9999890113010506,0,2,sell,0.33047032356262207,0.3340259790420532,0.3355036973953247,2,sell,1.0985921885033798,0.9999817040416011,1,2,sell,0.3402581214904785,0.32746538519859314,0.33227652311325073,0,hold,1.0984872205793672,0.9998861581196272,0,418.9873046875,10203.001953125,-324.0,infinite,0.9999522911540929
2024-10-07,2655.5038489457,9816.5142282719,17875.0259084561,0.9396828413009644,0.9312593340873718,0.0284785646945238,0.0124258818104863,0.0224112980067729,0.9135754704475404,0.0478912107646465,0.0463293232023716,0.0579460263252258,-0.8917916417121887,-0.8849300146102905,0.029467461630702,0,hold,0.32894250750541687,0.3330223858356476,0.33803510665893555,2,sell,1.0985500915537743,0.9999433857467488,0,0,hold,0.3325614631175995,0.32988977432250977,0.33754879236221313,2,sell,1.0985670021022442,0.99995877839131,1,2,sell,0.3422814905643463,0.3289329409599304,0.3287855386734009,0,hold,1.0984329053470507,0.9998367182645694,0,418.9873046875,10235.501953125,32.5,infinite,0.999912960800876
2024-10-08,2569.0037235706,9619.0139420106,17420.0252489681,0.0076592401601374,0.1312444806098938,0.3827280700206756,0.961942732334137,0.6553148627281189,0.0141211412847042,0.0303980633616447,0.2134406566619873,0.6031507849693298,0.0227388236671686,0.0821961760520935,0.2204227149486541,2,sell,0.3291424810886383,0.33598753809928894,0.33487001061439514,1,buy,1.09857175679563,0.9999631062997402,0,1,buy,0.33474647998809814,0.33403608202934265,0.3312174379825592,0,hold,1.098601827379135,0.999990477724414,2,2,sell,0.337516725063324,0.3291514813899994,0.3333318829536438,0,hold,1.098559804435497,0.9999522267926964,0,-9200.0263671875,10038.0009765625,-197.5009765625,infinite,0.9999686036056167
2024-10-09,2530.003667043,9550.0138420003,17275.0250388016,0.950532078742981,0.5823115110397339,0.8197890520095825,0.0181550979614257,0.0166558735072612,0.0097205312922596,0.031312845647335,0.4010325670242309,0.1704903393983841,-0.9192192554473876,-0.1812789440155029,-0.6492987275123596,2,sell,0.32926589250564575,0.3380897343158722,0.33264437317848206,1,buy,1.0985528837484457,0.9999459273118672,0,2,sell,0.3324773907661438,0.3273085057735443,0.3402140736579895,2,sell,1.0984858766952605,0.9998849348635973,1,0,hold,0.3383875787258148,0.32850325107574463,0.33310917019844055,0,hold,1.0985389225930045,0.9999332193205355,0,349.9873046875,9900.0009765625,-138.0,infinite,0.9999213604986666
2024-10-10,2550.5036967562,9507.0137796751,17150.0248576236,0.8427554368972778,0.614896297454834,0.3560155034065246,0.0420826524496078,0.0119119100272655,0.0184288267046213,0.1151618584990501,0.3731918036937713,0.6255555748939514,-0.7275936007499695,-0.2417044937610626,0.2695400714874267,1,buy,0.3306710720062256,0.3384469747543335,0.3308819532394409,1,buy,1.0985535677831835,0.9999465499471178,1,2,sell,0.3332849442958832,0.3347020447254181,0.33201292157173157,1,buy,1.0986068602463093,0.9999950588375385,0,2,sell,0.3384195566177368,0.3300195038318634,0.3315609395503998,0,hold,1.0985524325419067,0.9999455166059761,0,7306.497314453125,9857.0009765625,-43.0,infinite,0.9999623751302108
2024-10-11,2645.0038337268,9596.5139093986,17615.0255316058,0.212287351489067,0.6007338166236877,0.0093345940113067,0.7034569382667542,0.1945894956588745,0.9727134704589844,0.0842556431889534,0.2046766877174377,0.0179519057273864,-0.128031700849533,-0.39605712890625,0.0086173117160797,2,sell,0.33204367756843567,0.33440330624580383,0.3335530161857605,1,buy,1.0986080028229226,0.9999960988555914,0,0,hold,0.3323975205421448,0.33555683493614197,0.33204564452171326,1,buy,1.0986010838915476,0.9999898009728475,0,0,hold,0.3383384644985199,0.3296104371547699,0.3320511281490326,0,hold,1.09855156133021,0.9999447235949149,0,9951.501220703125,9951.501220703125,94.500244140625,infinite,0.9999768744744513
2024-10-14,2566.0037192223,9516.0137927199,17335.0251257671,0.0169099885970354,0.9330223202705384,0.3591629862785339,0.9719915986061096,0.0334925986826419,0.2166517823934555,0.0110984174534678,0.0334850326180458,0.4241852164268493,-0.0058115711435675,-0.8995372653007507,0.0650222301483154,1,buy,0.3254092037677765,0.3378475308418274,0.3367432951927185,1,buy,1.0984695330758645,0.999870058260118,1,0,hold,0.3311527371406555,0.32949185371398926,0.33935534954071045,2,sell,1.0985288472181485,0.9999240483191186,0,0,hold,0.336332768201828,0.32666924595832825,0.336997926235199,2,sell,1.0985117000869131,0.999908440327644,0,7385.49755859375,9951.501220703125,0.0,infinite,0.9999008489689603
2024-10-15,2522.0036554476,9401.5136267608,17175.0248938592,0.9275055527687072,0.072434201836586,0.3591630458831787,0.0096857789903879,0.1024459078907966,0.2166518270969391,0.0628086701035499,0.8251199126243591,0.424185186624527,-0.8646968603134155,0.7526857256889343,0.0650221407413482,2,sell,0.3298751413822174,0.33489373326301575,0.33523109555244446,2,sell,1.098585249055622,0.9999753874840409,0,0,hold,0.3343805968761444,0.33187994360923767,0.3337394893169403,0,hold,1.0986072247757948,0.9999953906465755,0,1,buy,0.33511775732040405,0.33095964789390564,0.3339226245880127,0,hold,1.0985985286186462,0.9999874750632178,1,-7267.524169921875,9907.501220703125,-44.0,infinite,0.9999860843979448
2024-10-16,2557.5037069022,9489.0137535855,17070.0247416697,0.321018636226654,0.4026240408420563,0.0517633259296417,0.6546852588653564,0.5782439112663269,0.9315845966339112,0.0242960359901189,0.0191319938749074,0.0166521798819303,-0.2967225909233093,-0.3834920525550842,-0.0351111441850662,2,sell,0.3384380638599396,0.3307078182697296,0.3308540880680084,0,hold,1.0985537890936312,0.9999467513925686,0,1,buy,0.33259689807891846,0.333478182554245,0.33392494916915894,2,sell,1.0986109183920663,0.9999987527209939,1,0,hold,0.3392588496208191,0.32652804255485535,0.33421313762664795,0,hold,1.098488824722479,0.9998876182736128,1,-16756.537841796875,9802.501220703125,-105.0,infinite,0.9999443741290585
2024-10-17,2524.5036590712,9380.0135955982,16630.0241039231,0.9505446553230286,0.8110999464988708,0.4782826900482178,0.0286005977541208,0.0479394011199474,0.0106734139844775,0.0208546835929155,0.1409606784582138,0.511043906211853,-0.9296899437904358,-0.6701392531394958,0.0327612161636352,2,sell,0.32775330543518066,0.33265575766563416,0.33959096670150757,2,sell,1.0985062588345558,0.9999034874863064,0,0,hold,0.3243066966533661,0.3340336084365845,0.34165969491004944,2,sell,1.0983850777054616,0.999793183669078,1,0,hold,0.33669379353523254,0.3339691758155823,0.3293370306491852,0,hold,1.0985707482436697,0.999962188276184,1,-16756.537841796875,9253.499267578125,-549.001953125,infinite,0.9998862864771895
2024-10-18,2553.0037003798,9472.51372967,16780.0243213367,0.0157019533216953,0.01396254170686,0.9241690039634703,0.9655194878578186,0.9523406624794006,0.0546181425452232,0.0187786146998405,0.033696811646223,0.0212128832936286,0.0030766613781452,0.0197342708706855,-0.9029561281204224,1,buy,0.3333333432674408,0.3333333432674408,0.3333333432674408,0,hold,1.0986122886681096,0.9999999999999998,1,0,hold,0.3333333432674408,0.3333333432674408,0.3333333432674408,0,hold,1.0986122886681096,0.9999999999999998,1,2,sell,0.3333333432674408,0.3333333432674408,0.3333333432674408,0,hold,1.0986122886681096,0.9999999999999998,0,-2529.51806640625,9495.999267578125,242.5,infinite,0.9999999999999997
2024-10-21,2582.5037431378,9592.5139036009,16715.0242271241,0.051171526312828,0.419874757528305,0.0085735842585563,0.9358227849006652,0.1366604268550872,0.97430020570755,0.0130055909976363,0.4434648752212524,0.0171261839568614,-0.0381659343838691,0.0235901176929473,0.0085525996983051,2,sell,0.3346453011035919,0.33083096146583557,0.3345237672328949,0,hold,1.0985981705964412,0.9999871491773629,0,0,hold,0.3346629738807678,0.32603755593299866,0.33929944038391113,2,sell,1.0984761328119401,0.9998760655987794,1,1,buy,0.33802151679992676,0.3323000967502594,0.32967841625213623,0,hold,1.0985577592661397,0.9999503651993223,1,-16662.037841796875,9645.499267578125,149.5,infinite,0.9999378599918215
2024-10-22,2609.0037815475,9490.5137557596,16310.0236401074,0.3591629862785339,0.8962409496307373,0.3591629862785339,0.2166517823934555,0.0085267452523112,0.2166517823934555,0.4241852164268493,0.0952324047684669,0.4241852164268493,0.0650222301483154,-0.8010085225105286,0.0650222301483154,2,sell,0.3332791328430176,0.3313221335411072,0.33539873361587524,2,sell,1.0985998189925859,0.9999886496121948,0,0,hold,0.3283270299434662,0.3354538381099701,0.3362191617488861,2,sell,1.0985553177555203,0.9999481428405843,1,2,sell,0.33120039105415344,0.33196622133255005,0.3368333578109741,2,sell,1.0985843312887245,0.9999745520966098,0,-352.014404296875,9138.499267578125,-507.0,infinite,0.9999704481831296
2024-10-23,2625.0038047383,9364.0135724074,15860.0229878665,0.0066953860223293,0.670991063117981,0.0111858136951923,0.9710702896118164,0.0550344884395599,0.973365306854248,0.022234383970499,0.2739744484424591,0.0154488822445273,0.0155389979481697,-0.3970166146755218,0.004263068549335,0,hold,0.3351476490497589,0.3329879343509674,0.33186444640159607,0,hold,1.0986039397699416,0.9999924005053883,0,2,sell,0.3278011977672577,0.3331182301044464,0.3390805423259735,2,sell,1.098516793071678,0.9999130761621576,0,0,hold,0.3380294144153595,0.3309357166290283,0.33103489875793457,0,hold,1.0985627770871358,0.9999549326168251,0,9011.999267578125,9011.999267578125,-126.5,infinite,0.9999534697614569
2024-10-24,2643.0038308279,9413.0136434292,16035.0232415157,0.9567855596542358,0.0313161425292491,0.3608143031597137,0.0215988773852586,0.9554551839828492,0.4198016226291656,0.0216155182570219,0.0132287014275789,0.219384029507637,-0.93517005443573,-0.0180874411016702,-0.1414302736520767,1,buy,0.3348848223686218,0.3352447748184204,0.32987043261528015,1,buy,1.0985851634765746,0.9999753095866349,1,0,hold,0.3340919017791748,0.32673782110214233,0.33917030692100525,2,sell,1.0984949306654368,0.9998931761424085,0,2,sell,0.3373451232910156,0.33015695214271545,0.33249789476394653,0,hold,1.0985720130412755,0.9999633395445785,0,6368.995361328125,9011.999267578125,0.0,infinite,0.9999439417578739
2024-10-25,2600.5037692274,9385.0136028453,15920.023074832,0.0102218920364975,0.0080821430310606,0.122449904680252,0.9737087488174438,0.9738596677780152,0.5597265362739563,0.0160693358629941,0.0180581621825695,0.3178234994411468,0.0058474438264966,0.0099760191515088,0.1953735947608947,1,buy,0.3307703137397766,0.33042123913764954,0.3388083875179291,2,sell,1.0985449319152927,0.9999386892414077,2,2,sell,0.3322427272796631,0.33780112862586975,0.32995614409446716,1,buy,1.0985635274965184,0.9999556156688812,0,2,sell,0.33732667565345764,0.3326127231121063,0.33006057143211365,0,hold,1.0985715646683385,0.999962931417943,0,3768.49169921875,8969.4990234375,-42.500244140625,infinite,0.9999524121094107
2024-10-28,2610.0037829969,9402.0136274856,15810.0229153953,0.8744707107543945,0.0161209926009178,0.1253257691860199,0.0087363328784704,0.9645982980728148,0.0115189328789711,0.1167928799986839,0.0192806255072355,0.8631553649902344,-0.7576778531074524,0.0031596329063177,0.7378295660018921,1,buy,0.3320465683937073,0.3330663740634918,0.3348870277404785,2,sell,1.0986060795537396,0.9999943482205376,3,0,hold,0.33476945757865906,0.3274996876716614,0.33773088455200195,2,sell,1.0985289709106014,0.9999241609088413,0,0,hold,0.333114892244339,0.33098137378692627,0.33590370416641235,2,sell,1.0985940150877305,0.9999833666703278,0,1158.488037109375,8988.4990234375,19.0,infinite,0.9999672919332355
