date,price_aluminium_lme,price_copper_lme,price_nickel_lme,negative_aluminium_lme,negative_copper_lme,negative_nickel_lme,neutral_aluminium_lme,neutral_copper_lme,neutral_nickel_lme,positive_aluminium_lme,positive_copper_lme,positive_nickel_lme,sentiment_score_aluminium_lme,sentiment_score_copper_lme,sentiment_score_nickel_lme,action_aluminium_lme,action_name_aluminium_lme,greedy_action_aluminium_lme,greedy_action_name_aluminium_lme,prob_hold_aluminium_lme,prob_buy_aluminium_lme,prob_sell_aluminium_lme,entropy_aluminium_lme,normalized_entropy_aluminium_lme,position_aluminium_lme,action_copper_lme,action_name_copper_lme,greedy_action_copper_lme,greedy_action_name_copper_lme,prob_hold_copper_lme,prob_buy_copper_lme,prob_sell_copper_lme,entropy_copper_lme,normalized_entropy_copper_lme,position_copper_lme,action_nickel_lme,action_name_nickel_lme,greedy_action_nickel_lme,greedy_action_name_nickel_lme,prob_hold_nickel_lme,prob_buy_nickel_lme,prob_sell_nickel_lme,entropy_nickel_lme,normalized_entropy_nickel_lme,position_nickel_lme,cash_balance,net_worth,reward,capital_mode,mean_normalized_entropy
2020-01-16,1794.0026002669,6300.5091320967,14290.0207122706,0.25,0.1666666666666666,0.0833333333333333,0.5833333333333333,0.5,0.8333333333333334,0.1666666666666667,0.3333333333333333,0.0833333333333333,-0.0833333333333333,0.1666666666666666,0.0,1,buy,1,buy,0.334293395280838,0.3394283652305603,0.32627832889556885,1.0984803278736646,0.9998798841085191,1,1,buy,1,buy,0.34047937393188477,0.3409879803657532,0.31853264570236206,1.0981154412942624,0.9995477500306776,1,1,buy,2,sell,0.32900387048721313,0.32432371377944946,0.34667232632637024,1.0981977752036727,0.9996226935847043,1,-12384.532348632812,10000.0,0.0,infinite,0.9996834425746336
2020-01-17,1796.0026031657,6276.5090973105,13840.0200600298,0.25,0.1666666666666667,0.0,0.75,0.5833333333333333,1.0,0.0,0.25,0.0,-0.25,0.0833333333333333,0.0,1,buy,2,sell,0.3335043787956238,0.31924769282341003,0.3472478985786438,1.09802389011774,0.999464416558563,2,0,hold,1,buy,0.3293720781803131,0.34682586789131165,0.32380211353302,1.0981816125868769,0.9996079817368919,1,0,hold,2,sell,0.3261881470680237,0.31830650568008423,0.3555053770542145,1.0974696664801584,0.9989599404633125,1,-14180.534912109375,9528.0,-472.0,infinite,0.999344112919589
2020-01-20,1807.0026191094,6245.0090516536,13845.0200672769,0.1666666666666666,0.0833333333333333,0.0833333333333333,0.75,0.8333333333333334,0.75,0.0833333333333333,0.0833333333333333,0.1666666666666666,-0.0833333333333333,0.0,0.0833333333333333,2,sell,0,hold,0.344845175743103,0.3244397044181824,0.3307150900363922,1.0982857302685607,0.9997027537349459,1,1,buy,1,buy,0.3395799994468689,0.3542732298374176,0.3061467409133911,1.0967696564881881,0.9983227639095904,2,2,sell,2,sell,0.3280206322669983,0.31795838475227356,0.3540209233760834,1.0975804788404808,0.999060806220473,0,-4773.5211181640625,9523.5,-4.5,infinite,0.9990287746216698
2020-01-21,1810.5026241824,6158.5089262784,13750.0199295816,0.1666666666666667,0.0833333333333333,0.0,0.5833333333333333,0.6666666666666667,0.8333333333333334,0.25,0.2499999999999999,0.1666666666666666,0.0833333333333333,0.1666666666666666,0.1666666666666666,0,hold,0,hold,0.3450964093208313,0.33044102787971497,0.3244626522064209,1.0982754537910302,0.9996933996819861,1,0,hold,0,hold,0.35302451252937317,0.32769882678985596,0.3192766606807709,1.0976932672858908,0.9991634706877954,2,1,buy,2,sell,0.3340027928352356,0.3212231993675232,0.3447740077972412,1.0981947952083742,0.9996199810760885,1,-18523.540649414062,9353.9990234375,-169.5009765625,infinite,0.99949228381529
2020-01-22,1807.5026198341,6103.5088465601,13645.0197773921,0.3333333333333334,0.3333333333333333,0.3333333333333334,0.5833333333333333,0.4166666666666666,0.5833333333333333,0.0833333333333333,0.25,0.0833333333333333,-0.25,-0.0833333333333333,-0.25,2,sell,0,hold,0.3389767110347748,0.3323822021484375,0.3286411166191101,1.0985302447596366,0.9999253204162019,0,1,buy,0,hold,0.35316187143325806,0.32764410972595215,0.3191940188407898,1.0976808482155704,0.9991521663628317,3,1,buy,2,sell,0.328828901052475,0.32703256607055664,0.34413856267929077,1.098348520244353,0.9997599076339511,2,-36464.56640625,9135.9990234375,-218.0,infinite,0.9996124648043282
2020-01-23,1781.5025821491,6050.0087690159,13300.0192773408,0.25,0.2499999999999999,0.3333333333333333,0.5833333333333333,0.6666666666666667,0.5,0.1666666666666667,0.0833333333333333,0.1666666666666666,-0.0833333333333333,-0.1666666666666666,-0.1666666666666666,1,buy,1,buy,0.3336043655872345,0.340055912733078,0.3263397812843323,1.0984709569024451,0.9998713542829236,1,2,sell,1,buy,0.32797950506210327,0.34032177925109863,0.33169877529144287,1.09849229625898,0.9998907782023126,2,2,sell,2,sell,0.3257468640804291,0.33096185326576233,0.34329134225845337,1.0983695549805772,0.999779054275984,1,-18896.040649414062,8285.4990234375,-850.5,infinite,0.99984706225374
2020-01-24,1775.5025734525,5968.0086501631,12990.0188280193,0.1666666666666666,0.25,0.1666666666666666,0.6666666666666667,0.5833333333333333,0.6666666666666667,0.1666666666666666,0.1666666666666667,0.1666666666666666,0.0,-0.0833333333333333,0.0,0,hold,1,buy,0.3327158987522125,0.3347935676574707,0.332490473985672,1.0986074561929342,0.9999956012915335,1,2,sell,1,buy,0.3330996036529541,0.3426797091960907,0.3242207169532776,1.0983566718843696,0.9997673275764555,1,0,hold,2,sell,0.31772634387016296,0.33703702688217163,0.3452366292476654,1.0980105345437607,0.999452259791233,1,-12928.031860351562,7805.498046875,-480.0009765625,infinite,0.9997383962197407
2020-01-27,1755.502544464,5779.008376222,12650.0183352151,0.0,0.1666666666666666,0.0833333333333333,1.0,0.5,0.8333333333333334,0.0,0.3333333333333333,0.0833333333333333,0.0,0.1666666666666666,0.0,0,hold,2,sell,0.33851927518844604,0.32286337018013,0.33861735463142395,1.0983643141865806,0.9997742838997097,1,1,buy,0,hold,0.3402464687824249,0.33463963866233826,0.3251139521598816,1.098436355015544,0.9998398582881509,2,1,buy,2,sell,0.3339230418205261,0.3215886652469635,0.34448832273483276,1.0982177849824335,0.9996409072702486,2,-31357.058715820312,7256.49755859375,-549.00048828125,infinite,0.9997516831527031
2020-01-28,1744.5025285204,5715.0082834588,12740.0184656633,0.1666666666666666,0.3333333333333333,0.0833333333333333,0.4166666666666666,0.3333333333333333,0.6666666666666667,0.4166666666666667,0.3333333333333333,0.2499999999999999,0.25,0.0,0.1666666666666666,1,buy,0,hold,0.3423197865486145,0.32308724522590637,0.33459293842315674,1.0983307391272183,0.9997437225636419,2,2,sell,1,buy,0.33331310749053955,0.34342092275619507,0.3232659697532654,1.0983075839690573,0.9997226458303848,1,2,sell,2,sell,0.3338598608970642,0.3283473551273346,0.3377928137779236,1.0985446974406459,0.9999384758133865,1,-14646.534423828125,7297.49755859375,41.0,infinite,0.9998016147358045
2020-01-29,1732.5025111273,5698.0082588186,12630.0183062266,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.0,0.0,0.0,-0.0833333333333333,-0.0833333333333333,-0.0833333333333333,0,hold,0,hold,0.34279051423072815,0.3271328806877136,0.3300766050815582,1.098405391477004,0.9998116740607766,2,0,hold,1,buy,0.33640241622924805,0.3373223543167114,0.3262752592563629,1.0984991714623216,0.9998970362820851,1,0,hold,2,sell,0.3268222510814667,0.3316407799720764,0.3415369689464569,1.098443843496978,0.9998466745977,1,-14646.534423828125,7146.49755859375,-151.0,infinite,0.9998517949801874
